ats_id,id,source,permeability [m^2],logk_stdev [-],porosity [-],van Genuchten alpha [Pa^-1],van Genuchten n [-],residual saturation [-],Rosetta porosity [-],Rosetta permeability [m^2],mukey,thickness [cm],bulk density [g/cm^3],total sand pct [%],total silt pct [%],total clay pct [%]
100,1793338.0,GLHYMPS,3.019951720402019e-11,1.61,0.01,0.023952568249684173,2.0,0.01,,,,,,,,
1000,,NRCS,3.4290275210225e-15,,0.3072458791208791,0.00013915380301893153,1.4707554854972253,0.1771645176589943,0.43104065087833865,8.079687029898409e-13,545800.0,203.0,1.2973557692307693,66.35625,19.51875,14.125
1001,,NRCS,3.2472358738861235e-15,,0.3037142857142857,0.00013899111961813835,1.4695127397567325,0.1774925390699328,0.43274092243309087,8.184952206820009e-13,545801.0,202.99999999999997,1.2923076923076922,66.4,19.3,14.299999999999999
1002,,NRCS,2.8000000000000014e-12,,0.37916256157635475,0.00015012268118250259,1.4910874458934966,0.1724120994980305,0.40088892871505655,6.477202478397658e-13,545803.0,203.0,1.4,66.79950738916256,21.700492610837436,11.499999999999998
1003,,NRCS,2.7999999999999986e-12,,0.38487684729064037,8.336928698578347e-05,1.4687892683314978,0.17712230618526184,0.38868691724876514,3.412748424536144e-13,545805.0,203.0,1.4,46.72167487684729,41.77832512315271,11.5
1004,,NRCS,2.7999999999999986e-12,,0.38487684729064037,8.336928698578347e-05,1.4687892683314978,0.17712230618526184,0.38868691724876514,3.412748424536144e-13,545806.0,203.0,1.4,46.72167487684729,41.77832512315271,11.5
1005,,NRCS,2.7999999999999986e-12,,0.38487684729064037,8.336928698578347e-05,1.4687892683314978,0.17712230618526184,0.38868691724876514,3.412748424536144e-13,545807.0,203.0,1.4,46.72167487684729,41.77832512315271,11.5
1006,,NRCS,6.219065143065801e-14,,0.34944186046511627,0.0001269134614072897,1.4458578032623806,0.1834681207832544,0.3987668524276322,4.2968959705302087e-13,545813.0,203.0,1.4106666666666667,60.00728682170543,26.226046511627906,13.766666666666667
1007,,NRCS,5.999906894093056e-14,,0.3443222311002705,0.00012639020002476548,1.4449853347517343,0.18370891137649503,0.3981354892221788,4.224967043588598e-13,545814.0,203.0,1.4129309825195902,59.79068470779539,26.427142296424016,13.782172995780591
1008,,NRCS,4.813863110930323e-14,,0.31486523744757244,0.0001611825165762835,1.4964021979295212,0.17811630344553703,0.4097118037987959,7.229890682996874e-13,545815.0,203.0,1.3926300118476025,70.12567065686063,16.487363548568624,13.386965794570731
