# Observation File: surface_free_ion_species_pflotran.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface free concentration
# Region: east conc
# Functional: average
# Variable: surface-free_ion_species
# Number of Vectors: 4
# =============================================================================
"time [s]" "surface free concentration"
7.776000000000e+06 1.987219948208e-08 1.842603681551e-03 9.632694265722e-04 8.934390527933e-04
7.862400000000e+06 1.987219948208e-08 1.842603681551e-03 9.632694265722e-04 8.934390527933e-04
7.948800000000e+06 1.987219948208e-08 1.842603681551e-03 9.632694265722e-04 8.934390527933e-04
8.035200000000e+06 1.987219948208e-08 1.842603681551e-03 9.632694265722e-04 8.934390527933e-04
8.121600000000e+06 1.987219948208e-08 1.842603681551e-03 9.632694265722e-04 8.934390527933e-04
8.208000000000e+06 1.987219948208e-08 1.842603681551e-03 9.632694265722e-04 8.934390527933e-04
8.294400000000e+06 1.987219948208e-08 1.842603681551e-03 9.632694265722e-04 8.934390527933e-04
8.380800000000e+06 1.987219948208e-08 1.842603681551e-03 9.632694265722e-04 8.934390527933e-04
8.467200000000e+06 1.987219948208e-08 1.842603681551e-03 9.632694265722e-04 8.934390527933e-04
8.553600000000e+06 1.987219948208e-08 1.842603681551e-03 9.632694265722e-04 8.934390527933e-04
8.640000000000e+06 1.987185809191e-08 1.842576485868e-03 9.632671285875e-04 8.934133269492e-04
8.726400000000e+06 9.803046350653e-09 1.133263351659e-03 5.968416459698e-04 5.226052552314e-04
8.812800000000e+06 1.123627026333e-08 1.218488442642e-03 6.406481381768e-04 5.662189024500e-04
8.899200000000e+06 1.210136020795e-08 1.266097815313e-03 6.651381449624e-04 5.909265115831e-04
8.985600000000e+06 1.326051433124e-08 1.331532764420e-03 6.988447351107e-04 6.250751279429e-04
9.072000000000e+06 1.434909444412e-08 1.391307867218e-03 7.298591158193e-04 6.564055688897e-04
9.158400000000e+06 1.491425710993e-08 1.419433234760e-03 7.453223870398e-04 6.705388037807e-04
9.244800000000e+06 1.522760258251e-08 1.435225985898e-03 7.553849409912e-04 6.771892746617e-04
9.331200000000e+06 1.537990968144e-08 1.442096611774e-03 7.616310692432e-04 6.783587016558e-04
9.417600000000e+06 1.543913900004e-08 1.443938187337e-03 7.657968553142e-04 6.763587462063e-04
9.504000000000e+06 1.545327413966e-08 1.443402351387e-03 7.690468754815e-04 6.727924557628e-04
9.590400000000e+06 1.546386193149e-08 1.442915396688e-03 7.725663190419e-04 6.690106752110e-04
9.676800000000e+06 1.559069287397e-08 1.450285329131e-03 7.806986865615e-04 6.688296536463e-04
9.763200000000e+06 1.568918819630e-08 1.454795630435e-03 7.883986804463e-04 6.661938515122e-04
