# Observation File: surface_total_concentration_pflotran.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface total concentration
# Region: east conc
# Functional: average
# Variable: surface-total_component_concentration
# Number of Vectors: 4
# =============================================================================
"time [s]" "surface total concentration"
1.416960000000e+07 3.369974245182e-07 2.397471457143e-05 1.463478367425e-05 8.618623966993e-06
1.425600000000e+07 3.352101903206e-07 2.393345396886e-05 1.464740477534e-05 8.567638991819e-06
1.434240000000e+07 3.333367219837e-07 2.389052538247e-05 1.465991683182e-05 8.515178637741e-06
1.442880000000e+07 3.315681096505e-07 2.384899187994e-05 1.467411394659e-05 8.462443842592e-06
1.451520000000e+07 3.301978599726e-07 2.381324707617e-05 1.469267996277e-05 8.411052562185e-06
1.460160000000e+07 3.295620785719e-07 2.378824195880e-05 1.471875833627e-05 8.362715381284e-06
1.468800000000e+07 3.297336877200e-07 2.377471233714e-05 1.475303556251e-05 8.317479004791e-06
1.477440000000e+07 3.309724333032e-07 2.377675067443e-05 1.479836114139e-05 8.276519699192e-06
1.486080000000e+07 3.352426814570e-07 2.382541446628e-05 1.487461906232e-05 8.250411392358e-06
1.494720000000e+07 3.387014607700e-07 2.385632110941e-05 1.494289817986e-05 8.215049749853e-06
1.503360000000e+07 3.384463335342e-07 2.382841985762e-05 1.497731541179e-05 8.156080978364e-06
1.512000000000e+07 3.367212089024e-07 2.378196222612e-05 1.500137486272e-05 8.089353559213e-06
